LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,City,Website,Phone,CouncilDistrict,lat,long,Address
Skate Parks,Lake Street Skate Park,227,,N,Lake,St,"Los Angeles, CA 90026
(34.0687, -118.27)",http://www.laparks.org/dos/parks/skateparks/lakeStSkatePk.htm,(213) 207-2196,13,34.06874703,-118.270384,"227 N Lake St. Los Angeles, CA 90026"
Skate Parks,Stoner Skate Park,1835,,,Stoner,Ave,"Los Angeles, CA 90025
(34.0384, -118.453)",http://www.laparks.org/dos/parks/skateparks/stonerSkatePk.htm,(310) 479-7200,11,34.03844736,-118.4532902,"1835 Stoner Ave. Los Angeles, CA 90025
"
Skate Parks,Westchester Skate Park,7000,,W,Manchester,Ave,"Los Angeles, CA 90045
(33.9591, -118.415)",http://www.laparks.org/dos/parks/skateparks/westchesterSkatePk.htm,(310) 670-7473,11,33.959143,-118.414785,"7000 W Manchester Ave. Los Angeles, CA 90045"
Skate Parks,Lincoln Park Skate Park,3501,,,Valley,Blvd,"Los Angeles, CA 90031
(34.0656, -118.202)",http://www.laparks.org/dos/parks/skateparks/lincolnParkSkatePk.htm,(213) 847-1726,1,34.06561417,-118.2018369,"3501  Valley Blvd. Los Angeles, CA 90031"
Skate Parks,Wilmington Skate Park (Ambassador Skate Park),325,,N,Neptune,Ave,"Wilmington, CA 90744
(33.7731, -118.269)",http://www.laparks.org/dos/parks/skateparks/wilmingtonSkatePk.htm,(310) 548-7645,15,33.77313982,-118.2686791,"325 N Neptune Ave. Wilmington, CA 90744"
Skate Parks,Imperial Courts Skate Park,2250,,E,114th,St,"Los Angeles, CA 90059
(33.9313, -118.232)",http://www.laparks.org/dos/parks/skateparks/imperialCourtsSkatePk.htm,(323) 564-1834,15,33.93125654,-118.2324199,"2250 E 114th St. Los Angeles, CA 90059"
Skate Parks,Hollenbeck Safe Spot Skate Spot,415,,S,Saint Louis,St,"Los Angeles, CA 90033
(34.0414, -118.216)",http://www.laparks.org/dos/parks/skateparks/hollenbeckSkatePk.htm,(323) 261-0113,14,34.04136456,-118.2160944,"415 S Saint Louis St. Los Angeles, CA 90033"
Skate Parks,El Sereno Skate Park,4721,,,Klamath,St,"Los Angeles, CA 90032
(34.0757, -118.182)",http://www.laparks.org/dos/parks/skateparks/elSerenoSkatePk.htm,(323) 225-3517,14,34.075694,-118.1815698,"4721  Klamath St. Los Angeles, CA 90032"
Skate Parks,Sunland Skate Park,8651,,,Foothill,Blvd,"Sunland, CA 91040
(34.2599, -118.322)",http://www.laparks.org/dos/parks/skateparks/sunlandSkatePk.htm,(818) 352-5282,7,34.25987785,-118.3220099,"8651  Foothill Blvd. Sunland, CA 91040"
Skate Parks,Pedlow Skate Park,17334,,,Victory,Blvd,"Encino, CA 91316
(34.1859, -118.512)",http://www.laparks.org/dos/parks/skateparks/pedlowSkatePk.htm,(818) 654-5296,6,34.185931,-118.511611,"17334  Victory Blvd. Encino, CA 91316"
Skate Parks,Jackie Tatum Skate Plaza,1535,,W,62nd,St,"Los Angeles, CA 90047
(33.9842, -118.304)",http://www.laparks.org/dos/parks/skateparks/jackieTatumSkatePk.htm,(323) 778-2579,8,33.984177,-118.303512,"1535 W 62nd St. Los Angeles, CA 90047"
Skate Parks,Venice Skate Park,1800,,,Ocean Front,Walk,"Venice, CA 90291
(33.9857, -118.473)",http://www.laparks.org/dos/parks/skateparks/veniceSkatePk.htm,(310) 399-2775,11,33.98570187,-118.4726212,"1800  Ocean Front Walk. Venice, CA 90291"
Skate Parks,Hansen Dam Skate Park,11770,,,Foothill,Blvd,"Lake View Terrace, CA 91342
(34.2738, -118.383)",,(818) 899-4537,7,34.273758,-118.383484,"11770  Foothill Blvd. Lake View Terrace, CA 91342"
Skate Parks,Garvanza Skate Park,6240,,,Meridian,St,"Los Angeles, CA 90042
(34.1201, -118.18)",http://www.laparks.org/dos/parks/skateparks/garvanzaSkatePk.htm,(323) 255-0370,14,34.12007,-118.179944,"6240  Meridian St. Los Angeles, CA 9004"
Skate Parks,Southeast Valley Roller and Skateboard Park,12505,,W,Sheldon,St,"Sun Valley, CA 91352
(34.231, -118.406)",,(818) 899-4537,6,34.230966,-118.405579,"12505 W Sheldon St. Sun Valley, CA 9135"
